reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	2	1	1766	19	1785
1	2	1	1064	15	1079
2	2	1	994	13	1007
3	2	1	914	12	926
4	2	1	906	12	918
5	2	1	893	11	904
6	2	1	840	12	852
7	2	1	849	11	860
8	2	1	824	12	836
9	2	1	838	11	849
10	2	1	828	12	840
11	2	1	785	12	797
12	2	1	752	11	763
13	2	1	754	11	765
14	2	1	764	11	775
15	2	1	764	11	775
16	2	1	763	11	774
17	2	1	763	11	774
18	2	1	769	11	781
19	2	1	733	11	744
20	2	1	714	11	725
21	2	1	704	14	718
22	2	1	730	13	743
23	2	1	741	13	754
24	2	1	733	14	747
25	2	1	735	14	749
26	2	1	679	11	690
27	2	1	645	13	658
28	2	1	676	10	686
29	2	1	680	13	693
30	2	1	677	13	690
31	2	1	665	13	678
32	2	1	642	12	654
33	2	1	633	13	646
34	2	1	626	13	639
35	2	1	642	13	655
36	2	1	635	12	647
37	2	1	635	13	648
38	2	1	591	11	602
39	2	1	604	13	617
40	2	1	634	12	646
41	2	1	613	13	626
42	2	1	604	14	618
43	2	1	577	13	590
44	2	1	601	14	615
45	2	1	598	13	611
46	2	1	569	14	583
47	2	1	579	14	593
48	2	1	602	16	618
49	2	1	596	16	612
50	2	1	554	16	570
51	2	1	554	16	570
52	2	1	576	16	592
53	2	1	564	16	580
54	2	1	528	17	545
55	2	1	543	16	559
56	2	1	562	17	579
57	2	1	521	17	538
58	2	1	526	16	542
59	2	1	535	17	552
60	2	1	523	17	540
61	2	1	512	16	528
62	2	1	520	16	536
63	2	1	534	17	551
64	2	1	501	17	518
65	2	1	476	17	493
66	2	1	487	17	504
67	2	1	470	17	487
68	2	1	472	16	488
69	2	1	485	17	502
70	2	1	469	36	505
71	2	1	444	21	465
72	2	1	471	21	492
73	2	1	474	17	491
74	2	1	445	20	465
75	2	1	422	21	443
76	2	1	443	21	464
77	2	1	452	18	470
78	2	1	409	22	431
79	2	1	427	20	447
80	2	1	394	21	415
81	2	1	392	21	413
82	2	1	389	21	410
83	2	1	391	20	412
84	2	1	401	21	422
85	2	1	391	21	412
86	2	1	403	21	424
87	2	1	374	22	396
88	2	1	378	21	399
89	2	1	351	21	372
90	2	1	361	22	383
91	2	1	364	81	445
92	2	1	362	22	384
93	2	1	330	63	393
94	2	1	348	22	370
95	2	1	364	61	425
96	2	1	350	22	372
97	2	1	333	65	398
98	2	1	331	21	352
99	2	1	308	65	373
100	2	1	301	64	365
101	2	1	331	66	397
102	2	1	314	65	379
103	2	1	314	68	382
104	2	1	303	67	370
105	2	1	298	67	365
106	2	1	297	67	364
107	2	1	295	71	366
108	2	-2	451	0	451
109	2	-2	256	0	256
110	2	-2	248	0	248
111	2	-2	258	0	258
112	2	-2	251	0	251
113	2	-2	253	0	253
114	2	-2	255	0	255
115	2	-2	249	0	249
116	2	-2	258	0	258
117	2	-2	255	0	255
118	2	-2	254	0	254
119	2	-2	250	0	250
120	2	-2	250	0	250
121	2	-2	258	0	258
122	2	-2	248	0	248
123	2	-2	255	0	255
124	2	-2	250	0	250
125	2	-2	259	0	259
126	2	-2	249	0	249
127	2	-2	260	0	260
128	2	-2	257	0	257
129	2	-2	251	0	251
130	2	-2	259	0	259
131	2	-2	248	0	248
132	2	-2	260	0	260
133	2	-2	253	0	253
134	2	-2	251	0	251
135	2	-2	258	0	258
136	2	-2	258	0	258
137	2	-2	251	0	251
138	2	-2	260	0	260
139	2	-2	258	0	258
140	2	-2	258	0	258
141	2	-2	253	0	253
142	2	-2	256	0	256
143	2	-2	257	0	257
144	2	-2	263	0	263
145	2	-2	259	0	259
146	2	-2	254	0	254
147	2	-2	253	0	253
148	2	-2	262	0	262
149	2	-2	256	0	256
