reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	8	1	3027	64	3091
1	8	1	1749	55	1804
2	8	1	1525	50	1575
3	8	1	1402	48	1450
4	8	1	1384	49	1433
5	8	1	1357	56	1413
6	8	1	1280	42	1322
7	8	1	1106	43	1149
8	8	1	1051	42	1093
9	8	1	1028	41	1069
10	8	1	983	42	1025
11	8	1	935	42	977
12	8	1	885	43	928
13	8	1	856	43	899
14	8	1	819	42	861
15	8	1	742	41	783
16	8	1	726	42	768
17	8	1	667	42	709
18	8	1	626	43	669
19	8	1	612	41	653
20	8	1	566	42	608
21	8	1	518	42	560
22	8	1	459	41	500
23	8	1	406	42	448
24	8	1	377	238	615
25	8	1	370	249	619
26	8	1	339	282	621
27	8	-2	423	0	423
28	8	-2	276	0	276
29	8	-2	266	0	266
30	8	-2	281	0	281
31	8	-2	266	0	266
32	8	-2	278	0	278
33	8	-2	267	0	267
34	8	-2	276	0	276
35	8	-2	271	0	271
36	8	-2	276	0	276
37	8	-2	277	0	277
38	8	-2	273	0	273
39	8	-2	274	0	274
40	8	-2	274	0	274
41	8	-2	276	0	276
42	8	-2	266	0	266
43	8	-2	278	0	278
44	8	-2	267	0	267
45	8	-2	273	0	273
46	8	-2	275	0	275
47	8	-2	271	0	271
48	8	-2	276	0	276
49	8	-2	273	0	273
50	8	-2	272	0	272
51	8	-2	273	0	273
52	8	-2	271	0	271
53	8	-2	271	0	271
54	8	-2	273	0	273
55	8	-2	277	0	277
56	8	-2	279	0	279
57	8	-2	271	0	271
58	8	-2	277	0	277
59	8	-2	278	0	278
60	8	-2	272	0	272
61	8	-2	277	0	277
62	8	-2	273	0	273
63	8	-2	276	0	276
64	8	-2	276	0	276
65	8	-2	273	0	273
66	8	-2	278	0	278
67	8	-2	285	0	285
68	8	-2	279	0	279
69	8	-2	272	0	272
70	8	-2	290	0	290
71	8	-2	278	0	278
72	8	-2	273	0	273
73	8	-2	266	0	266
74	8	-2	277	0	277
75	8	-2	270	0	270
76	8	-2	276	0	276
77	8	-2	270	0	270
78	8	-2	275	0	275
79	8	-2	275	0	275
80	8	-2	276	0	276
81	8	-2	271	0	271
82	8	-2	274	0	274
83	8	-2	275	0	275
84	8	-2	271	0	271
85	8	-2	273	0	273
86	8	-2	265	0	265
87	8	-2	278	0	278
88	8	-2	268	0	268
89	8	-2	281	0	281
90	8	-2	272	0	272
91	8	-2	269	0	269
92	8	-2	290	0	290
93	8	-2	268	0	268
94	8	-2	270	0	270
95	8	-2	271	0	271
96	8	-2	273	0	273
97	8	-2	267	0	267
98	8	-2	281	0	281
99	8	-2	278	0	278
100	8	-2	274	0	274
101	8	-2	268	0	268
102	8	-2	277	0	277
103	8	-2	277	0	277
104	8	-2	271	0	271
105	8	-2	270	0	270
106	8	-2	269	0	269
107	8	-2	278	0	278
108	8	-2	265	0	265
109	8	-2	272	0	272
110	8	-2	268	0	268
111	8	-2	287	0	287
112	8	-2	273	0	273
113	8	-2	267	0	267
114	8	-2	289	0	289
115	8	-2	271	0	271
116	8	-2	276	0	276
117	8	-2	266	0	266
118	8	-2	277	0	277
119	8	-2	289	0	289
120	8	-2	269	0	269
121	8	-2	278	0	278
122	8	-2	269	0	269
123	8	-2	276	0	276
124	8	-2	271	0	271
125	8	-2	275	0	275
126	8	-2	276	0	276
127	8	-2	273	0	273
128	8	-2	297	0	297
129	8	-2	269	0	269
130	8	-2	286	0	286
131	8	-2	269	0	269
132	8	-2	275	0	275
133	8	-2	275	0	275
134	8	-2	267	0	267
135	8	-2	292	0	292
136	8	-2	279	0	279
137	8	-2	266	0	266
138	8	-2	277	0	277
139	8	-2	271	0	271
140	8	-2	268	0	268
141	8	-2	288	0	288
142	8	-2	268	0	268
143	8	-2	272	0	272
144	8	-2	274	0	274
145	8	-2	269	0	269
146	8	-2	272	0	272
147	8	-2	286	0	286
148	8	-2	266	0	266
149	8	-2	268	0	268
