reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	10	1	3578	101	3679
1	10	1	2110	94	2204
2	10	1	1713	81	1795
3	10	1	1548	84	1632
4	10	1	1666	133	1799
5	10	1	1252	71	1323
6	10	1	1198	72	1270
7	10	1	1114	72	1186
8	10	1	1069	74	1143
9	10	1	1012	73	1085
10	10	1	945	77	1022
11	10	1	908	74	982
12	10	1	852	83	935
13	10	1	787	83	870
14	10	1	710	82	792
15	10	1	668	96	764
16	10	1	633	78	711
17	10	1	555	87	642
18	10	1	494	94	588
19	10	1	428	84	512
20	10	1	381	195	576
21	10	-2	405	0	405
22	10	-2	261	0	261
23	10	-2	247	0	247
24	10	-2	359	0	359
25	10	-2	204	0	204
26	10	-2	208	0	208
27	10	-2	219	0	219
28	10	-2	204	0	204
29	10	-2	207	0	207
30	10	-2	224	0	224
31	10	-2	207	0	207
32	10	-2	205	0	205
33	10	-2	217	0	217
34	10	-2	207	0	207
35	10	-2	225	0	225
36	10	-2	206	0	206
37	10	-2	205	0	205
38	10	-2	223	0	223
39	10	-2	203	0	203
40	10	-2	215	0	215
41	10	-2	221	0	221
42	10	-2	203	0	203
43	10	-2	206	0	206
44	10	-2	221	0	221
45	10	-2	212	0	212
46	10	-2	204	0	204
47	10	-2	219	0	219
48	10	-2	202	0	202
49	10	-2	209	0	209
50	10	-2	229	0	229
51	10	-2	202	0	202
52	10	-2	206	0	206
53	10	-2	218	0	218
54	10	-2	205	0	205
55	10	-2	210	0	210
56	10	-2	230	0	230
57	10	-2	206	0	206
58	10	-2	204	0	204
59	10	-2	219	0	219
60	10	-2	207	0	207
61	10	-2	204	0	204
62	10	-2	219	0	219
63	10	-2	207	0	207
64	10	-2	207	0	207
65	10	-2	225	0	225
66	10	-2	205	0	205
67	10	-2	205	0	205
68	10	-2	221	0	221
69	10	-2	210	0	210
70	10	-2	208	0	208
71	10	-2	221	0	221
72	10	-2	201	0	201
73	10	-2	212	0	212
74	10	-2	218	0	218
75	10	-2	208	0	208
76	10	-2	205	0	205
77	10	-2	214	0	214
78	10	-2	205	0	205
79	10	-2	203	0	203
80	10	-2	228	0	228
81	10	-2	204	0	204
82	10	-2	216	0	216
83	10	-2	207	0	207
84	10	-2	202	0	202
85	10	-2	221	0	221
86	10	-2	201	0	201
87	10	-2	207	0	207
88	10	-2	220	0	220
89	10	-2	203	0	203
90	10	-2	211	0	211
91	10	-2	221	0	221
92	10	-2	207	0	207
93	10	-2	204	0	204
94	10	-2	222	0	222
95	10	-2	208	0	208
96	10	-2	207	0	207
97	10	-2	220	0	220
98	10	-2	202	0	202
99	10	-2	208	0	208
100	10	-2	220	0	220
101	10	-2	205	0	205
102	10	-2	211	0	211
103	10	-2	217	0	217
104	10	-2	204	0	204
105	10	-2	210	0	210
106	10	-2	216	0	216
107	10	-2	211	0	211
108	10	-2	202	0	202
109	10	-2	232	0	232
110	10	-2	210	0	210
111	10	-2	211	0	211
112	10	-2	218	0	218
113	10	-2	200	0	200
114	10	-2	204	0	204
115	10	-2	222	0	222
116	10	-2	207	0	207
117	10	-2	206	0	206
118	10	-2	223	0	223
119	10	-2	204	0	204
120	10	-2	211	0	211
121	10	-2	219	0	219
122	10	-2	203	0	203
123	10	-2	203	0	203
124	10	-2	218	0	218
125	10	-2	209	0	209
126	10	-2	203	0	203
127	10	-2	220	0	220
128	10	-2	201	0	201
129	10	-2	207	0	207
130	10	-2	228	0	228
131	10	-2	203	0	203
132	10	-2	206	0	206
133	10	-2	222	0	222
134	10	-2	205	0	205
135	10	-2	213	0	213
136	10	-2	219	0	219
137	10	-2	204	0	204
138	10	-2	203	0	203
139	10	-2	221	0	221
140	10	-2	214	0	214
141	10	-2	204	0	204
142	10	-2	220	0	220
143	10	-2	201	0	201
144	10	-2	209	0	209
145	10	-2	222	0	222
146	10	-2	201	0	201
147	10	-2	208	0	208
148	10	-2	215	0	215
149	10	-2	205	0	205
