reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	4	1	2237	35	2272
1	4	1	1360	29	1389
2	4	1	1212	28	1240
3	4	1	1118	28	1146
4	4	1	1060	32	1092
5	4	1	1050	25	1075
6	4	1	999	23	1022
7	4	1	974	24	998
8	4	1	909	24	933
9	4	1	933	23	956
10	4	1	934	24	958
11	4	1	922	25	947
12	4	1	1080	36	1116
13	4	1	834	20	854
14	4	1	814	23	837
15	4	1	762	21	783
16	4	1	751	20	771
17	4	1	743	37	780
18	4	1	764	20	784
19	4	1	756	21	777
20	4	1	748	20	768
21	4	1	732	20	752
22	4	1	717	21	738
23	4	1	688	21	709
24	4	1	689	26	715
25	4	1	676	26	702
26	4	1	659	25	684
27	4	1	618	26	644
28	4	1	607	27	634
29	4	1	590	26	616
30	4	1	564	26	590
31	4	1	548	26	574
32	4	1	570	26	596
33	4	1	542	26	568
34	4	1	551	28	579
35	4	1	519	27	546
36	4	1	495	26	521
37	4	1	468	26	495
38	4	1	472	27	499
39	4	1	473	27	500
40	4	1	468	27	495
41	4	1	416	26	442
42	4	1	399	28	427
43	4	1	387	27	414
44	4	1	411	27	438
45	4	1	380	28	408
46	4	1	364	27	391
47	4	1	346	28	374
48	4	1	319	115	434
49	4	1	329	114	443
50	4	1	319	129	448
51	4	1	318	120	438
52	4	1	315	163	478
53	4	1	311	153	464
54	4	-2	474	0	474
55	4	-2	277	0	277
56	4	-2	284	0	284
57	4	-2	297	0	297
58	4	-2	284	0	284
59	4	-2	274	0	274
60	4	-2	284	0	284
61	4	-2	280	0	280
62	4	-2	280	0	280
63	4	-2	281	0	281
64	4	-2	283	0	283
65	4	-2	284	0	284
66	4	-2	274	0	274
67	4	-2	279	0	279
68	4	-2	291	0	291
69	4	-2	281	0	281
70	4	-2	282	0	282
71	4	-2	287	0	287
72	4	-2	286	0	286
73	4	-2	292	0	292
74	4	-2	276	0	276
75	4	-2	284	0	284
76	4	-2	311	0	311
77	4	-2	277	0	277
78	4	-2	281	0	281
79	4	-2	273	0	273
80	4	-2	284	0	284
81	4	-2	275	0	275
82	4	-2	281	0	281
83	4	-2	272	0	272
84	4	-2	280	0	280
85	4	-2	279	0	279
86	4	-2	279	0	279
87	4	-2	273	0	273
88	4	-2	285	0	285
89	4	-2	279	0	279
90	4	-2	279	0	279
91	4	-2	279	0	279
92	4	-2	274	0	274
93	4	-2	285	0	285
94	4	-2	284	0	284
95	4	-2	274	0	274
96	4	-2	289	0	289
97	4	-2	276	0	276
98	4	-2	277	0	277
99	4	-2	272	0	272
100	4	-2	280	0	280
101	4	-2	288	0	288
102	4	-2	277	0	277
103	4	-2	285	0	285
104	4	-2	280	0	280
105	4	-2	279	0	279
106	4	-2	277	0	277
107	4	-2	282	0	282
108	4	-2	285	0	285
109	4	-2	278	0	278
110	4	-2	283	0	283
111	4	-2	276	0	276
112	4	-2	281	0	281
113	4	-2	288	0	288
114	4	-2	280	0	280
115	4	-2	276	0	276
116	4	-2	288	0	288
117	4	-2	283	0	283
118	4	-2	282	0	282
119	4	-2	281	0	281
120	4	-2	292	0	292
121	4	-2	279	0	279
122	4	-2	276	0	276
123	4	-2	272	0	272
124	4	-2	278	0	278
125	4	-2	280	0	280
126	4	-2	278	0	278
127	4	-2	273	0	273
128	4	-2	284	0	284
129	4	-2	277	0	277
130	4	-2	287	0	287
131	4	-2	274	0	274
132	4	-2	286	0	286
133	4	-2	275	0	275
134	4	-2	279	0	279
135	4	-2	281	0	281
136	4	-2	282	0	282
137	4	-2	278	0	278
138	4	-2	281	0	281
139	4	-2	286	0	286
140	4	-2	278	0	278
141	4	-2	291	0	291
142	4	-2	286	0	286
143	4	-2	274	0	274
144	4	-2	283	0	283
145	4	-2	282	0	282
146	4	-2	285	0	285
147	4	-2	274	0	274
148	4	-2	285	0	285
149	4	-2	281	0	281
