reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	3	1	1369	26	1395
1	3	1	900	33	933
2	3	1	703	19	722
3	3	1	653	17	670
4	3	1	600	15	615
5	3	1	612	15	627
6	3	1	562	15	577
7	3	1	569	15	584
8	3	1	546	15	561
9	3	1	546	15	561
10	3	1	526	14	540
11	3	1	535	16	551
12	3	1	523	14	537
13	3	1	480	14	494
14	3	1	466	14	480
15	3	1	450	13	463
16	3	1	433	14	447
17	3	1	446	14	460
18	3	1	420	14	434
19	3	1	421	14	435
20	3	1	432	14	446
21	3	1	392	14	406
22	3	1	411	14	425
23	3	1	388	18	406
24	3	1	374	14	388
25	3	1	370	18	388
26	3	1	360	17	377
27	3	1	360	17	378
28	3	1	339	18	357
29	3	1	336	18	354
30	3	1	312	18	330
31	3	1	335	19	354
32	3	1	318	18	336
33	3	1	280	16	296
34	3	1	286	17	303
35	3	1	278	17	295
36	3	1	262	16	278
37	3	1	242	16	258
38	3	1	235	16	251
39	3	1	246	16	262
40	3	1	232	16	248
41	3	1	236	17	253
42	3	1	217	17	234
43	3	1	216	17	233
44	3	1	199	17	216
45	3	1	200	17	217
46	3	1	169	16	185
47	3	1	179	17	196
48	3	-2	227	0	227
49	3	-2	95	0	95
50	3	-2	103	0	103
51	3	-2	110	0	110
52	3	-2	99	0	99
53	3	-2	100	0	100
54	3	-2	97	0	97
55	3	-2	98	0	98
56	3	-2	99	0	99
57	3	-2	106	0	106
58	3	-2	97	0	97
59	3	-2	98	0	98
60	3	-2	102	0	102
61	3	-2	99	0	99
62	3	-2	100	0	100
63	3	-2	98	0	98
64	3	-2	109	0	109
65	3	-2	98	0	98
66	3	-2	100	0	100
67	3	-2	96	0	96
68	3	-2	98	0	98
69	3	-2	99	0	99
70	3	-2	121	0	121
71	3	-2	97	0	97
72	3	-2	97	0	97
73	3	-2	98	0	98
74	3	-2	98	0	98
75	3	-2	101	0	101
76	3	-2	99	0	99
77	3	-2	101	0	101
78	3	-2	100	0	100
79	3	-2	98	0	98
80	3	-2	99	0	99
81	3	-2	97	0	97
82	3	-2	98	0	98
83	3	-2	99	0	99
84	3	-2	99	0	99
85	3	-2	105	0	105
86	3	-2	99	0	99
87	3	-2	98	0	98
88	3	-2	97	0	97
89	3	-2	97	0	97
90	3	-2	100	0	100
91	3	-2	99	0	99
92	3	-2	113	0	113
93	3	-2	96	0	96
94	3	-2	97	0	97
95	3	-2	100	0	100
96	3	-2	99	0	99
97	3	-2	97	0	97
98	3	-2	105	0	105
99	3	-2	99	0	99
100	3	-2	100	0	100
101	3	-2	99	0	99
102	3	-2	98	0	98
103	3	-2	99	0	99
104	3	-2	98	0	98
105	3	-2	104	0	104
106	3	-2	100	0	100
107	3	-2	98	0	98
108	3	-2	98	0	98
109	3	-2	98	0	98
110	3	-2	100	0	100
111	3	-2	101	0	101
112	3	-2	98	0	98
113	3	-2	97	0	97
114	3	-2	96	0	96
115	3	-2	98	0	98
116	3	-2	104	0	104
117	3	-2	100	0	100
118	3	-2	98	0	98
119	3	-2	97	0	97
120	3	-2	100	0	100
121	3	-2	99	0	99
122	3	-2	103	0	103
123	3	-2	97	0	97
124	3	-2	98	0	98
125	3	-2	96	0	96
126	3	-2	98	0	98
127	3	-2	103	0	103
128	3	-2	100	0	100
129	3	-2	98	0	98
130	3	-2	100	0	100
131	3	-2	98	0	98
132	3	-2	104	0	104
133	3	-2	95	0	95
134	3	-2	98	0	98
135	3	-2	97	0	97
136	3	-2	100	0	100
137	3	-2	102	0	102
138	3	-2	97	0	97
139	3	-2	101	0	101
140	3	-2	98	0	98
141	3	-2	104	0	104
142	3	-2	98	0	98
143	3	-2	98	0	98
144	3	-2	98	0	98
145	3	-2	97	0	97
146	3	-2	105	0	105
147	3	-2	98	0	98
148	3	-2	99	0	99
149	3	-2	98	0	98
