reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	4	1	1644	37	1681
1	4	1	897	24	921
2	4	1	802	22	824
3	4	1	738	22	760
4	4	1	700	21	721
5	4	1	640	20	660
6	4	1	655	20	675
7	4	1	628	19	647
8	4	1	606	20	626
9	4	1	557	19	576
10	4	1	542	20	562
11	4	1	544	18	562
12	4	1	529	18	547
13	4	1	500	18	518
14	4	1	466	18	484
15	4	1	472	19	491
16	4	1	443	18	461
17	4	1	427	20	447
18	4	1	427	18	445
19	4	1	408	19	427
20	4	1	397	18	415
21	4	1	380	18	398
22	4	1	367	18	385
23	4	1	351	19	370
24	4	1	343	55	398
25	4	1	317	54	371
26	4	1	304	51	355
27	4	1	289	74	363
28	4	1	270	54	324
29	4	1	270	52	322
30	4	1	258	53	311
31	4	1	245	53	298
32	4	1	221	53	274
33	4	1	222	70	292
34	4	1	211	58	269
35	4	1	199	55	254
36	4	-2	288	0	288
37	4	-2	147	0	147
38	4	-2	145	0	145
39	4	-2	146	0	146
40	4	-2	158	0	158
41	4	-2	146	0	146
42	4	-2	147	0	147
43	4	-2	147	0	147
44	4	-2	145	0	145
45	4	-2	155	0	155
46	4	-2	148	0	148
47	4	-2	146	0	146
48	4	-2	147	0	147
49	4	-2	158	0	158
50	4	-2	145	0	145
51	4	-2	145	0	145
52	4	-2	145	0	145
53	4	-2	145	0	145
54	4	-2	155	0	155
55	4	-2	147	0	147
56	4	-2	150	0	150
57	4	-2	145	0	145
58	4	-2	155	0	155
59	4	-2	143	0	143
60	4	-2	145	0	145
61	4	-2	143	0	143
62	4	-2	152	0	152
63	4	-2	146	0	146
64	4	-2	146	0	146
65	4	-2	145	0	145
66	4	-2	150	0	150
67	4	-2	143	0	143
68	4	-2	146	0	146
69	4	-2	144	0	144
70	4	-2	157	0	157
71	4	-2	146	0	146
72	4	-2	145	0	145
73	4	-2	155	0	155
74	4	-2	144	0	144
75	4	-2	150	0	150
76	4	-2	146	0	146
77	4	-2	155	0	155
78	4	-2	145	0	145
79	4	-2	145	0	145
80	4	-2	150	0	150
81	4	-2	148	0	148
82	4	-2	149	0	149
83	4	-2	155	0	155
84	4	-2	147	0	147
85	4	-2	146	0	146
86	4	-2	149	0	149
87	4	-2	144	0	144
88	4	-2	145	0	145
89	4	-2	150	0	150
90	4	-2	146	0	146
91	4	-2	155	0	155
92	4	-2	144	0	144
93	4	-2	144	0	144
94	4	-2	148	0	148
95	4	-2	145	0	145
96	4	-2	151	0	151
97	4	-2	143	0	143
98	4	-2	146	0	146
99	4	-2	149	0	149
100	4	-2	144	0	144
101	4	-2	150	0	150
102	4	-2	144	0	144
103	4	-2	153	0	153
104	4	-2	145	0	145
105	4	-2	151	0	151
106	4	-2	145	0	145
107	4	-2	151	0	151
108	4	-2	143	0	143
109	4	-2	156	0	156
110	4	-2	145	0	145
111	4	-2	152	0	152
112	4	-2	149	0	149
113	4	-2	151	0	151
114	4	-2	149	0	149
115	4	-2	145	0	145
116	4	-2	158	0	158
117	4	-2	149	0	149
118	4	-2	149	0	149
119	4	-2	153	0	153
120	4	-2	148	0	148
121	4	-2	147	0	147
122	4	-2	152	0	152
123	4	-2	153	0	153
124	4	-2	149	0	149
125	4	-2	147	0	147
126	4	-2	150	0	150
127	4	-2	152	0	152
128	4	-2	153	0	153
129	4	-2	154	0	154
130	4	-2	155	0	155
131	4	-2	153	0	153
132	4	-2	147	0	147
133	4	-2	149	0	149
134	4	-2	152	0	152
135	4	-2	145	0	145
136	4	-2	155	0	155
137	4	-2	144	0	144
138	4	-2	151	0	151
139	4	-2	144	0	144
140	4	-2	150	0	150
141	4	-2	150	0	150
142	4	-2	146	0	146
143	4	-2	152	0	152
144	4	-2	144	0	144
145	4	-2	150	0	150
146	4	-2	145	0	145
147	4	-2	154	0	154
148	4	-2	153	0	153
149	4	-2	148	0	148
