reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	1	1	870	0	870
1	1	1	628	0	628
2	1	1	558	0	558
3	1	1	515	0	515
4	1	1	518	0	518
5	1	1	474	0	474
6	1	1	474	0	474
7	1	1	456	0	456
8	1	1	481	0	481
9	1	1	440	0	440
10	1	1	456	0	456
11	1	1	427	0	427
12	1	1	439	0	439
13	1	1	410	0	410
14	1	1	434	0	434
15	1	1	412	0	412
16	1	1	408	0	408
17	1	1	407	0	407
18	1	1	407	0	407
19	1	1	414	0	414
20	1	1	398	0	398
21	1	1	415	0	415
22	1	1	394	0	394
23	1	1	400	0	400
24	1	1	392	0	392
25	1	1	389	0	389
26	1	1	384	0	384
27	1	1	378	0	378
28	1	1	397	0	397
29	1	1	375	0	375
30	1	1	386	0	386
31	1	1	371	0	371
32	1	1	391	0	391
33	1	1	362	0	362
34	1	1	384	0	384
35	1	1	360	0	360
36	1	1	362	0	362
37	1	1	377	0	377
38	1	1	356	0	356
39	1	1	362	0	362
40	1	1	352	0	352
41	1	1	361	0	361
42	1	1	344	0	344
43	1	1	356	0	356
44	1	1	338	0	338
45	1	1	352	0	352
46	1	1	337	0	337
47	1	1	334	0	334
48	1	1	330	0	330
49	1	1	334	0	334
50	1	1	343	0	343
51	1	1	324	0	324
52	1	1	349	0	349
53	1	1	319	0	319
54	1	1	321	1	322
55	1	1	318	0	318
56	1	1	315	0	315
57	1	1	328	0	328
58	1	1	315	0	315
59	1	1	310	0	310
60	1	1	315	0	315
61	1	1	305	0	305
62	1	1	314	0	314
63	1	1	301	0	301
64	1	1	303	0	303
65	1	1	310	0	310
66	1	1	299	0	299
67	1	1	312	0	312
68	1	1	289	0	289
69	1	1	288	0	288
70	1	1	285	0	286
71	1	1	292	0	292
72	1	1	282	0	282
73	1	1	287	0	288
74	1	1	291	0	291
75	1	1	278	0	278
76	1	1	290	0	290
77	1	1	270	0	270
78	1	1	284	0	284
79	1	1	271	0	271
80	1	1	268	0	268
81	1	1	265	0	265
82	1	1	266	0	266
83	1	1	276	0	276
84	1	1	265	1	266
85	1	1	272	0	272
86	1	1	257	0	257
87	1	1	255	0	255
88	1	1	259	0	259
89	1	1	254	0	254
90	1	1	248	0	248
91	1	1	261	0	261
92	1	1	246	0	246
93	1	1	244	0	244
94	1	1	253	0	253
95	1	1	261	0	261
96	1	1	241	0	241
97	1	1	237	0	237
98	1	1	238	0	238
99	1	1	232	0	232
100	1	1	239	0	239
101	1	1	245	0	245
102	1	1	237	0	237
103	1	1	239	0	239
104	1	1	225	0	225
105	1	1	230	0	230
106	1	1	219	0	219
107	1	1	219	0	219
108	1	1	216	0	216
109	1	1	216	0	216
110	1	1	217	0	217
111	1	1	230	0	230
112	1	1	234	0	234
113	1	1	224	0	224
114	1	1	206	0	206
115	1	1	203	0	203
116	1	1	204	0	204
117	1	1	202	0	202
118	1	1	209	0	209
119	1	1	200	0	200
120	1	1	196	0	196
121	1	1	190	0	190
122	1	1	186	0	186
123	1	1	205	0	205
124	1	1	185	0	185
125	1	1	181	0	181
126	1	1	181	0	181
127	1	1	182	0	182
128	1	1	186	0	186
129	1	1	177	0	177
130	1	1	174	0	174
131	1	1	173	0	173
132	1	1	168	0	168
133	1	1	176	0	176
134	1	1	166	0	166
135	1	1	164	0	164
136	1	1	164	0	164
137	1	1	161	0	161
138	1	1	172	0	172
139	1	1	161	0	161
140	1	1	155	0	155
141	1	1	153	0	153
142	1	1	150	0	150
143	1	1	151	0	151
144	1	-2	192	0	192
145	1	-2	37	0	37
146	1	-2	43	0	43
147	1	-2	37	0	37
148	1	-2	37	0	37
149	1	-2	36	0	36
