reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	5	1	1720	40	1760
1	5	1	940	30	970
2	5	1	839	31	870
3	5	1	755	27	782
4	5	1	711	26	737
5	5	1	668	25	693
6	5	1	648	25	673
7	5	1	692	26	718
8	5	1	596	24	620
9	5	1	581	23	604
10	5	1	571	22	593
11	5	1	521	22	543
12	5	1	495	22	517
13	5	1	473	23	496
14	5	1	476	23	499
15	5	1	430	24	454
16	5	1	406	23	429
17	5	1	378	23	401
18	5	1	386	23	409
19	5	1	342	21	363
20	5	1	317	21	338
21	5	1	302	20	322
22	5	1	277	20	297
23	5	1	260	20	280
24	5	1	241	97	338
25	5	1	229	98	327
26	5	1	214	100	314
27	5	1	197	101	298
28	5	-2	237	0	237
29	5	-2	87	0	87
30	5	-2	92	0	92
31	5	-2	86	0	86
32	5	-2	90	0	90
33	5	-2	90	0	90
34	5	-2	88	0	88
35	5	-2	88	0	88
36	5	-2	106	0	106
37	5	-2	88	0	88
38	5	-2	89	0	89
39	5	-2	85	0	85
40	5	-2	86	0	86
41	5	-2	87	0	87
42	5	-2	88	0	88
43	5	-2	90	0	90
44	5	-2	88	0	88
45	5	-2	97	0	97
46	5	-2	89	0	89
47	5	-2	87	0	87
48	5	-2	87	0	87
49	5	-2	87	0	87
50	5	-2	89	0	89
51	5	-2	86	0	86
52	5	-2	89	0	89
53	5	-2	87	0	87
54	5	-2	90	0	90
55	5	-2	98	0	98
56	5	-2	89	0	89
57	5	-2	87	0	87
58	5	-2	87	0	87
59	5	-2	87	0	87
60	5	-2	88	0	88
61	5	-2	87	0	87
62	5	-2	88	0	88
63	5	-2	97	0	97
64	5	-2	87	0	87
65	5	-2	86	0	86
66	5	-2	88	0	88
67	5	-2	89	0	89
68	5	-2	86	0	86
69	5	-2	85	0	85
70	5	-2	87	0	87
71	5	-2	86	0	86
72	5	-2	102	0	102
73	5	-2	87	0	87
74	5	-2	86	0	86
75	5	-2	87	0	87
76	5	-2	87	0	87
77	5	-2	86	0	86
78	5	-2	89	0	89
79	5	-2	88	0	88
80	5	-2	101	0	101
81	5	-2	85	0	85
82	5	-2	85	0	85
83	5	-2	85	0	85
84	5	-2	87	0	87
85	5	-2	85	0	85
86	5	-2	86	0	86
87	5	-2	95	0	95
88	5	-2	86	0	86
89	5	-2	87	0	87
90	5	-2	90	0	90
91	5	-2	87	0	87
92	5	-2	86	0	86
93	5	-2	86	0	86
94	5	-2	93	0	93
95	5	-2	93	0	93
96	5	-2	86	0	86
97	5	-2	85	0	85
98	5	-2	87	0	87
99	5	-2	86	0	86
100	5	-2	87	0	87
101	5	-2	98	0	98
102	5	-2	90	0	90
103	5	-2	87	0	87
104	5	-2	87	0	87
105	5	-2	85	0	85
106	5	-2	87	0	87
107	5	-2	86	0	86
108	5	-2	101	0	101
109	5	-2	89	0	89
110	5	-2	86	0	86
111	5	-2	90	0	90
112	5	-2	91	0	91
113	5	-2	86	0	86
114	5	-2	99	0	99
115	5	-2	88	0	88
116	5	-2	87	0	87
117	5	-2	85	0	85
118	5	-2	88	0	88
119	5	-2	85	0	85
120	5	-2	95	0	95
121	5	-2	87	0	87
122	5	-2	86	0	86
123	5	-2	89	0	89
124	5	-2	87	0	87
125	5	-2	86	0	86
126	5	-2	97	0	97
127	5	-2	87	0	87
128	5	-2	87	0	87
129	5	-2	86	0	86
130	5	-2	88	0	88
131	5	-2	96	0	96
132	5	-2	86	0	86
133	5	-2	86	0	86
134	5	-2	86	0	86
135	5	-2	88	0	88
136	5	-2	87	0	87
137	5	-2	98	0	98
138	5	-2	88	0	88
139	5	-2	87	0	87
140	5	-2	86	0	86
141	5	-2	85	0	85
142	5	-2	97	0	97
143	5	-2	84	0	84
144	5	-2	87	0	87
145	5	-2	85	0	85
146	5	-2	101	0	101
147	5	-2	87	0	87
148	5	-2	86	0	86
149	5	-2	85	0	85
