reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	2	1	1371	17	1388
1	2	1	795	14	809
2	2	1	644	12	656
3	2	1	617	12	629
4	2	1	579	11	590
5	2	1	532	11	543
6	2	1	508	11	519
7	2	1	529	10	539
8	2	1	492	11	503
9	2	1	507	10	517
10	2	1	493	10	503
11	2	1	496	11	507
12	2	1	479	10	489
13	2	1	462	9	471
14	2	1	471	9	480
15	2	1	445	12	457
16	2	1	475	10	485
17	2	1	437	9	446
18	2	1	458	10	468
19	2	1	429	9	438
20	2	1	420	11	431
21	2	1	403	9	412
22	2	1	399	9	408
23	2	1	410	9	419
24	2	1	394	9	403
25	2	1	398	11	409
26	2	1	379	11	390
27	2	1	411	11	422
28	2	1	379	9	388
29	2	1	393	12	405
30	2	1	361	12	373
31	2	1	384	11	395
32	2	1	363	11	374
33	2	1	368	12	380
34	2	1	337	12	349
35	2	1	361	11	372
36	2	1	336	12	348
37	2	1	363	12	375
38	2	1	324	11	335
39	2	1	338	12	350
40	2	1	327	12	339
41	2	1	345	13	358
42	2	1	316	12	328
43	2	1	329	11	341
44	2	1	306	15	321
45	2	1	294	12	306
46	2	1	282	14	296
47	2	1	290	14	304
48	2	1	276	14	290
49	2	1	283	16	299
50	2	1	296	12	308
51	2	1	269	15	284
52	2	1	281	11	292
53	2	1	261	12	273
54	2	1	256	14	270
55	2	1	238	14	252
56	2	1	258	15	273
57	2	1	227	14	241
58	2	1	246	15	261
59	2	1	235	16	251
60	2	1	238	15	253
61	2	1	224	15	239
62	2	1	214	17	231
63	2	1	214	15	229
64	2	1	207	15	222
65	2	1	187	15	202
66	2	1	188	14	202
67	2	1	186	17	203
68	2	1	189	15	204
69	2	1	191	16	207
70	2	1	164	15	179
71	2	1	159	16	175
72	2	-2	243	0	243
73	2	-2	95	0	95
74	2	-2	95	0	95
75	2	-2	97	0	97
76	2	-2	100	0	100
77	2	-2	96	0	96
78	2	-2	95	0	95
79	2	-2	95	0	95
80	2	-2	95	0	95
81	2	-2	107	0	107
82	2	-2	95	0	95
83	2	-2	95	0	95
84	2	-2	95	0	95
85	2	-2	96	0	96
86	2	-2	99	0	99
87	2	-2	95	0	95
88	2	-2	94	0	94
89	2	-2	94	0	94
90	2	-2	101	0	101
91	2	-2	97	0	97
92	2	-2	95	0	95
93	2	-2	94	0	94
94	2	-2	94	0	94
95	2	-2	103	0	103
96	2	-2	96	0	96
97	2	-2	94	0	94
98	2	-2	93	0	93
99	2	-2	100	0	100
100	2	-2	95	0	95
101	2	-2	94	0	94
102	2	-2	94	0	94
103	2	-2	103	0	103
104	2	-2	94	0	94
105	2	-2	94	0	94
106	2	-2	96	0	96
107	2	-2	109	0	109
108	2	-2	93	0	93
109	2	-2	94	0	94
110	2	-2	108	0	108
111	2	-2	96	0	96
112	2	-2	95	0	95
113	2	-2	94	0	94
114	2	-2	104	0	104
115	2	-2	96	0	96
116	2	-2	95	0	95
117	2	-2	93	0	93
118	2	-2	94	0	94
119	2	-2	97	0	97
120	2	-2	94	0	94
121	2	-2	94	0	94
122	2	-2	94	0	94
123	2	-2	113	0	113
124	2	-2	94	0	94
125	2	-2	96	0	96
126	2	-2	95	0	95
127	2	-2	98	0	98
128	2	-2	93	0	93
129	2	-2	95	0	95
130	2	-2	94	0	94
131	2	-2	94	0	94
132	2	-2	94	0	94
133	2	-2	109	0	109
134	2	-2	93	0	93
135	2	-2	95	0	95
136	2	-2	97	0	97
137	2	-2	97	0	97
138	2	-2	94	0	94
139	2	-2	94	0	94
140	2	-2	99	0	99
141	2	-2	93	0	93
142	2	-2	95	0	95
143	2	-2	95	0	95
144	2	-2	94	0	94
145	2	-2	95	0	95
146	2	-2	94	0	94
147	2	-2	106	0	106
148	2	-2	94	0	94
149	2	-2	96	0	96
