reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	6	1	2046	43	2089
1	6	1	1140	35	1175
2	6	1	913	33	946
3	6	1	867	32	899
4	6	1	885	32	917
5	6	1	757	31	788
6	6	1	707	29	736
7	6	1	679	28	707
8	6	1	628	27	655
9	6	1	605	27	632
10	6	1	595	27	622
11	6	1	543	27	570
12	6	1	511	28	539
13	6	1	479	28	507
14	6	1	442	27	469
15	6	1	438	27	465
16	6	1	374	25	399
17	6	1	342	24	366
18	6	1	314	24	338
19	6	1	318	24	342
20	6	1	278	26	304
21	6	1	240	25	265
22	6	1	226	25	251
23	6	1	198	25	223
24	6	-2	265	0	265
25	6	-2	125	0	125
26	6	-2	127	0	127
27	6	-2	127	0	127
28	6	-2	124	0	124
29	6	-2	124	0	124
30	6	-2	140	0	140
31	6	-2	123	0	123
32	6	-2	124	0	124
33	6	-2	127	0	127
34	6	-2	122	0	122
35	6	-2	123	0	123
36	6	-2	130	0	130
37	6	-2	124	0	124
38	6	-2	124	0	124
39	6	-2	124	0	124
40	6	-2	122	0	122
41	6	-2	123	0	123
42	6	-2	133	0	133
43	6	-2	122	0	122
44	6	-2	123	0	123
45	6	-2	121	0	121
46	6	-2	125	0	125
47	6	-2	128	0	128
48	6	-2	122	0	122
49	6	-2	121	0	121
50	6	-2	124	0	124
51	6	-2	123	0	123
52	6	-2	123	0	123
53	6	-2	130	0	130
54	6	-2	127	0	127
55	6	-2	122	0	122
56	6	-2	122	0	122
57	6	-2	122	0	122
58	6	-2	128	0	128
59	6	-2	124	0	124
60	6	-2	122	0	122
61	6	-2	122	0	122
62	6	-2	126	0	126
63	6	-2	127	0	127
64	6	-2	122	0	122
65	6	-2	122	0	122
66	6	-2	120	0	120
67	6	-2	133	0	133
68	6	-2	125	0	125
69	6	-2	124	0	124
70	6	-2	125	0	125
71	6	-2	124	0	124
72	6	-2	130	0	130
73	6	-2	121	0	121
74	6	-2	122	0	122
75	6	-2	122	0	122
76	6	-2	128	0	128
77	6	-2	122	0	122
78	6	-2	125	0	125
79	6	-2	123	0	123
80	6	-2	126	0	126
81	6	-2	121	0	121
82	6	-2	122	0	122
83	6	-2	123	0	123
84	6	-2	128	0	128
85	6	-2	122	0	122
86	6	-2	128	0	128
87	6	-2	123	0	123
88	6	-2	127	0	127
89	6	-2	122	0	122
90	6	-2	122	0	122
91	6	-2	128	0	128
92	6	-2	123	0	123
93	6	-2	123	0	123
94	6	-2	128	0	128
95	6	-2	122	0	122
96	6	-2	125	0	125
97	6	-2	120	0	120
98	6	-2	127	0	127
99	6	-2	122	0	122
100	6	-2	124	0	124
101	6	-2	127	0	127
102	6	-2	124	0	124
103	6	-2	122	0	122
104	6	-2	128	0	128
105	6	-2	121	0	121
106	6	-2	125	0	125
107	6	-2	123	0	123
108	6	-2	122	0	122
109	6	-2	129	0	129
110	6	-2	123	0	123
111	6	-2	121	0	121
112	6	-2	127	0	127
113	6	-2	122	0	122
114	6	-2	128	0	128
115	6	-2	122	0	122
116	6	-2	124	0	124
117	6	-2	126	0	126
118	6	-2	122	0	122
119	6	-2	128	0	128
120	6	-2	120	0	120
121	6	-2	127	0	127
122	6	-2	122	0	122
123	6	-2	126	0	126
124	6	-2	122	0	122
125	6	-2	131	0	131
126	6	-2	124	0	124
127	6	-2	129	0	129
128	6	-2	123	0	123
129	6	-2	126	0	126
130	6	-2	125	0	125
131	6	-2	125	0	125
132	6	-2	127	0	127
133	6	-2	121	0	121
134	6	-2	127	0	127
135	6	-2	127	0	127
136	6	-2	122	0	122
137	6	-2	126	0	126
138	6	-2	124	0	124
139	6	-2	122	0	122
140	6	-2	137	0	137
141	6	-2	130	0	130
142	6	-2	135	0	135
143	6	-2	125	0	125
144	6	-2	129	0	129
145	6	-2	136	0	136
146	6	-2	133	0	133
147	6	-2	125	0	125
148	6	-2	130	0	130
149	6	-2	128	0	128
