reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	8	1	2135	105	2240
1	8	1	1193	76	1269
2	8	1	1059	72	1131
3	8	1	958	68	1026
4	8	1	901	71	972
5	8	1	820	62	882
6	8	1	763	63	826
7	8	1	719	63	783
8	8	1	662	64	726
9	8	1	609	63	672
10	8	1	585	64	649
11	8	1	510	58	568
12	8	1	480	76	556
13	8	1	440	78	518
14	8	1	392	76	468
15	8	1	357	115	472
16	8	1	296	79	375
17	8	1	254	127	381
18	8	-2	347	0	347
19	8	-2	207	0	207
20	8	-2	208	0	208
21	8	-2	216	0	216
22	8	-2	214	0	214
23	8	-2	208	0	208
24	8	-2	207	0	207
25	8	-2	215	0	215
26	8	-2	205	0	205
27	8	-2	210	0	210
28	8	-2	209	0	209
29	8	-2	216	0	216
30	8	-2	207	0	207
31	8	-2	212	0	212
32	8	-2	213	0	213
33	8	-2	211	0	211
34	8	-2	205	0	205
35	8	-2	207	0	207
36	8	-2	219	0	219
37	8	-2	205	0	205
38	8	-2	209	0	209
39	8	-2	213	0	213
40	8	-2	205	0	205
41	8	-2	217	0	217
42	8	-2	209	0	209
43	8	-2	210	0	210
44	8	-2	204	0	204
45	8	-2	210	0	210
46	8	-2	210	0	210
47	8	-2	204	0	204
48	8	-2	214	0	214
49	8	-2	206	0	206
50	8	-2	210	0	210
51	8	-2	210	0	210
52	8	-2	205	0	205
53	8	-2	211	0	211
54	8	-2	208	0	208
55	8	-2	210	0	210
56	8	-2	211	0	211
57	8	-2	204	0	204
58	8	-2	215	0	215
59	8	-2	205	0	205
60	8	-2	207	0	207
61	8	-2	209	0	209
62	8	-2	204	0	204
63	8	-2	217	0	217
64	8	-2	203	0	203
65	8	-2	216	0	216
66	8	-2	203	0	203
67	8	-2	210	0	210
68	8	-2	210	0	210
69	8	-2	213	0	213
70	8	-2	204	0	204
71	8	-2	217	0	217
72	8	-2	212	0	212
73	8	-2	208	0	208
74	8	-2	211	0	211
75	8	-2	207	0	207
76	8	-2	204	0	204
77	8	-2	217	0	217
78	8	-2	213	0	213
79	8	-2	208	0	208
80	8	-2	211	0	211
81	8	-2	208	0	208
82	8	-2	209	0	209
83	8	-2	207	0	207
84	8	-2	210	0	210
85	8	-2	210	0	210
86	8	-2	208	0	208
87	8	-2	213	0	213
88	8	-2	211	0	211
89	8	-2	210	0	210
90	8	-2	210	0	210
91	8	-2	210	0	210
92	8	-2	209	0	209
93	8	-2	223	0	223
94	8	-2	218	0	218
95	8	-2	213	0	213
96	8	-2	208	0	208
97	8	-2	205	0	205
98	8	-2	218	0	218
99	8	-2	211	0	211
100	8	-2	204	0	204
101	8	-2	210	0	210
102	8	-2	205	0	205
103	8	-2	212	0	212
104	8	-2	211	0	211
105	8	-2	204	0	204
106	8	-2	214	0	214
107	8	-2	206	0	206
108	8	-2	213	0	213
109	8	-2	202	0	202
110	8	-2	216	0	216
111	8	-2	204	0	204
112	8	-2	211	0	211
113	8	-2	213	0	213
114	8	-2	202	0	202
115	8	-2	210	0	210
116	8	-2	202	0	202
117	8	-2	218	0	218
118	8	-2	209	0	209
119	8	-2	204	0	204
120	8	-2	215	0	215
121	8	-2	204	0	204
122	8	-2	212	0	212
123	8	-2	211	0	211
124	8	-2	216	0	216
125	8	-2	215	0	215
126	8	-2	203	0	203
127	8	-2	217	0	217
128	8	-2	208	0	208
129	8	-2	210	0	210
130	8	-2	205	0	205
131	8	-2	214	0	214
132	8	-2	213	0	213
133	8	-2	206	0	206
134	8	-2	216	0	216
135	8	-2	209	0	209
136	8	-2	207	0	207
137	8	-2	212	0	212
138	8	-2	212	0	212
139	8	-2	215	0	215
140	8	-2	207	0	207
141	8	-2	211	0	211
142	8	-2	207	0	207
143	8	-2	214	0	214
144	8	-2	215	0	215
145	8	-2	204	0	204
146	8	-2	214	0	214
147	8	-2	204	0	204
148	8	-2	213	0	213
149	8	-2	209	0	209
