reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
0	7	1	1995	78	2073
1	7	1	1156	59	1215
2	7	1	1009	59	1068
3	7	1	920	55	975
4	7	1	855	57	912
5	7	1	809	51	860
6	7	1	763	51	814
7	7	1	712	52	764
8	7	1	685	54	739
9	7	1	637	51	688
10	7	1	598	62	660
11	7	1	564	53	617
12	7	1	535	55	590
13	7	1	473	57	530
14	7	1	439	57	496
15	7	1	411	74	485
16	7	1	374	61	435
17	7	1	344	53	397
18	7	1	307	69	376
19	7	1	279	153	432
20	7	-2	327	0	327
21	7	-2	180	0	180
22	7	-2	182	0	182
23	7	-2	191	0	191
24	7	-2	179	0	179
25	7	-2	178	0	178
26	7	-2	181	0	181
27	7	-2	178	0	178
28	7	-2	196	0	196
29	7	-2	175	0	175
30	7	-2	181	0	181
31	7	-2	179	0	179
32	7	-2	180	0	180
33	7	-2	194	0	194
34	7	-2	175	0	175
35	7	-2	179	0	179
36	7	-2	179	0	179
37	7	-2	189	0	189
38	7	-2	177	0	177
39	7	-2	180	0	180
40	7	-2	176	0	176
41	7	-2	180	0	180
42	7	-2	194	0	194
43	7	-2	179	0	179
44	7	-2	180	0	180
45	7	-2	176	0	176
46	7	-2	188	0	188
47	7	-2	176	0	176
48	7	-2	181	0	181
49	7	-2	183	0	183
50	7	-2	185	0	185
51	7	-2	179	0	179
52	7	-2	176	0	176
53	7	-2	179	0	179
54	7	-2	191	0	191
55	7	-2	179	0	179
56	7	-2	178	0	178
57	7	-2	188	0	188
58	7	-2	180	0	180
59	7	-2	178	0	178
60	7	-2	177	0	177
61	7	-2	191	0	191
62	7	-2	179	0	179
63	7	-2	177	0	177
64	7	-2	185	0	185
65	7	-2	180	0	180
66	7	-2	175	0	175
67	7	-2	194	0	194
68	7	-2	177	0	177
69	7	-2	177	0	177
70	7	-2	188	0	188
71	7	-2	176	0	176
72	7	-2	178	0	178
73	7	-2	190	0	190
74	7	-2	181	0	181
75	7	-2	177	0	177
76	7	-2	188	0	188
77	7	-2	179	0	179
78	7	-2	187	0	187
79	7	-2	180	0	180
80	7	-2	177	0	177
81	7	-2	187	0	187
82	7	-2	176	0	176
83	7	-2	187	0	187
84	7	-2	177	0	177
85	7	-2	191	0	191
86	7	-2	177	0	177
87	7	-2	184	0	184
88	7	-2	178	0	178
89	7	-2	180	0	180
90	7	-2	182	0	182
91	7	-2	187	0	187
92	7	-2	182	0	182
93	7	-2	187	0	187
94	7	-2	175	0	175
95	7	-2	185	0	185
96	7	-2	177	0	177
97	7	-2	186	0	186
98	7	-2	180	0	180
99	7	-2	183	0	183
100	7	-2	179	0	179
101	7	-2	183	0	183
102	7	-2	179	0	179
103	7	-2	187	0	187
104	7	-2	187	0	187
105	7	-2	176	0	176
106	7	-2	189	0	189
107	7	-2	178	0	178
108	7	-2	185	0	185
109	7	-2	183	0	183
110	7	-2	185	0	185
111	7	-2	176	0	176
112	7	-2	186	0	186
113	7	-2	176	0	176
114	7	-2	186	0	186
115	7	-2	183	0	183
116	7	-2	177	0	177
117	7	-2	186	0	186
118	7	-2	176	0	176
119	7	-2	185	0	185
120	7	-2	179	0	179
121	7	-2	189	0	189
122	7	-2	178	0	178
123	7	-2	184	0	184
124	7	-2	177	0	177
125	7	-2	188	0	188
126	7	-2	182	0	182
127	7	-2	181	0	181
128	7	-2	184	0	184
129	7	-2	178	0	178
130	7	-2	185	0	185
131	7	-2	191	0	191
132	7	-2	177	0	177
133	7	-2	186	0	186
134	7	-2	182	0	182
135	7	-2	177	0	177
136	7	-2	189	0	189
137	7	-2	175	0	175
138	7	-2	194	0	194
139	7	-2	178	0	178
140	7	-2	186	0	186
141	7	-2	182	0	182
142	7	-2	186	0	186
143	7	-2	178	0	178
144	7	-2	181	0	181
145	7	-2	190	0	190
146	7	-2	175	0	175
147	7	-2	180	0	180
148	7	-2	174	0	174
149	7	-2	185	0	185
