reqId	numberOfResRequested	reqAcceptReject	discoveryTime	compositionTime	reqProcessignTime
95	5	-2	448	0	448
96	5	-2	448	0	448
97	5	-2	422	0	422
98	5	-2	425	0	425
99	5	-2	462	0	462
0	7	1	3557	52	3609
1	7	1	2089	49	2138
2	7	1	1937	44	1981
3	7	1	1801	43	1844
4	7	1	1791	45	1836
5	7	1	1723	43	1766
6	7	1	1665	39	1704
7	7	1	1538	37	1575
8	7	1	1483	36	1519
9	7	1	1454	35	1489
10	7	1	1390	37	1427
11	7	1	1349	35	1384
12	7	1	1304	39	1343
13	7	1	1242	41	1283
14	7	1	1216	38	1254
15	7	1	1163	41	1204
16	7	1	1095	40	1135
17	7	1	1058	38	1096
18	7	1	1039	34	1073
19	7	1	1017	35	1052
20	7	1	1014	40	1054
21	7	1	944	38	982
22	7	1	875	38	913
23	7	1	847	35	882
24	7	1	847	37	884
25	7	1	808	40	848
26	7	1	727	40	767
27	7	1	688	37	726
28	7	1	678	42	720
29	7	1	631	38	669
30	7	1	592	37	629
31	7	1	585	66	651
32	7	1	500	235	735
33	7	1	464	204	668
34	7	1	484	199	683
35	7	1	462	206	668
36	7	-2	558	0	558
37	7	-2	355	0	355
38	7	-2	324	0	324
39	7	-2	335	0	335
40	7	-2	354	0	354
41	7	-2	348	0	348
42	7	-2	368	0	368
43	7	-2	335	0	335
44	7	-2	332	0	332
45	7	-2	325	0	325
46	7	-2	347	0	347
47	7	-2	361	0	361
48	7	-2	346	0	346
49	7	-2	336	0	336
50	7	-2	323	0	323
51	7	-2	326	0	326
52	7	-2	360	0	360
53	7	-2	359	0	359
54	7	-2	345	0	345
55	7	-2	331	0	331
56	7	-2	327	0	327
57	7	-2	338	0	338
58	7	-2	353	0	353
59	7	-2	355	0	355
60	7	-2	352	0	352
61	7	-2	340	0	340
62	7	-2	321	0	321
63	7	-2	343	0	343
64	7	-2	349	0	349
65	7	-2	369	0	369
66	7	-2	344	0	344
67	7	-2	334	0	334
68	7	-2	319	0	319
69	7	-2	349	0	349
70	7	-2	345	0	345
71	7	-2	353	0	353
72	7	-2	359	0	359
73	7	-2	324	0	324
74	7	-2	324	0	324
75	7	-2	351	0	351
76	7	-2	349	0	349
77	7	-2	352	0	352
78	7	-2	345	0	345
79	7	-2	334	0	334
80	7	-2	328	0	328
81	7	-2	355	0	355
82	7	-2	351	0	351
83	7	-2	354	0	354
84	7	-2	339	0	339
85	7	-2	334	0	334
86	7	-2	340	0	340
87	7	-2	358	0	358
88	7	-2	355	0	355
89	7	-2	362	0	362
90	7	-2	326	0	326
91	7	-2	330	0	330
92	7	-2	334	0	334
93	7	-2	349	0	349
94	7	-2	350	0	350
95	7	-2	370	0	370
96	7	-2	331	0	331
97	7	-2	323	0	323
98	7	-2	352	0	352
99	7	-2	345	0	345
0	9	1	5213	117	5330
1	9	1	2295	88	2383
2	9	1	2061	77	2138
3	9	1	1917	81	1998
4	9	1	1816	79	1895
5	9	1	1693	67	1760
6	9	1	1611	79	1690
7	9	1	1545	76	1621
8	9	1	1476	70	1546
9	9	1	1459	68	1527
10	9	1	1419	73	1492
11	9	1	1342	79	1421
12	9	1	1260	181	1441
13	9	1	1218	75	1293
14	9	1	1161	84	1245
15	9	1	1136	77	1213
16	9	1	1083	74	1157
17	9	1	1019	75	1094
18	9	1	1251	87	1338
19	9	1	973	98	1071
20	9	1	908	91	999
21	9	1	810	88	898
22	9	1	751	105	856
23	9	1	682	73	755
24	9	1	630	95	725
25	9	1	613	94	707
26	9	1	575	99	674
27	9	1	512	118	630
28	9	-2	631	0	631
29	9	-2	461	0	461
30	9	-2	434	0	434
31	9	-2	412	0	412
32	9	-2	422	0	422
33	9	-2	452	0	452
34	9	-2	454	0	454
35	9	-2	438	0	438
36	9	-2	415	0	415
37	9	-2	450	0	450
38	9	-2	456	0	456
39	9	-2	455	0	455
40	9	-2	412	0	412
41	9	-2	434	0	434
42	9	-2	448	0	448
43	9	-2	454	0	454
44	9	-2	436	0	436
45	9	-2	416	0	416
46	9	-2	438	0	438
47	9	-2	455	0	455
48	9	-2	452	0	452
49	9	-2	423	0	423
50	9	-2	421	0	421
51	9	-2	444	0	444
52	9	-2	459	0	459
53	9	-2	431	0	431
54	9	-2	416	0	416
55	9	-2	435	0	435
56	9	-2	462	0	462
57	9	-2	441	0	441
58	9	-2	422	0	422
59	9	-2	424	0	424
60	9	-2	458	0	458
61	9	-2	448	0	448
62	9	-2	450	0	450
63	9	-2	419	0	419
64	9	-2	437	0	437
65	9	-2	463	0	463
66	9	-2	448	0	448
67	9	-2	423	0	423
68	9	-2	421	0	421
69	9	-2	452	0	452
70	9	-2	455	0	455
71	9	-2	456	0	456
72	9	-2	412	0	412
73	9	-2	439	0	439
74	9	-2	453	0	453
75	9	-2	444	0	444
76	9	-2	437	0	437
77	9	-2	422	0	422
78	9	-2	456	0	456
79	9	-2	463	0	463
80	9	-2	464	0	464
81	9	-2	418	0	418
82	9	-2	441	0	441
83	9	-2	472	0	472
84	9	-2	462	0	462
85	9	-2	427	0	427
86	9	-2	412	0	412
87	9	-2	456	0	456
88	9	-2	462	0	462
89	9	-2	464	0	464
90	9	-2	423	0	423
91	9	-2	438	0	438
92	9	-2	465	0	465
93	9	-2	476	0	476
94	9	-2	436	0	436
95	9	-2	410	0	410
96	9	-2	459	0	459
97	9	-2	448	0	448
98	9	-2	439	0	439
99	9	-2	409	0	409
0	5	1	1413	[H-5_VM-8, H-5_VM-3, H-5_VM-2, H-5_VM-5, H-5_VM-4, ]	64	1477
1	5	1	686	[H-6_VM-6, H-6_VM-5, H-6_VM-8, H-6_VM-7, H-6_VM-2, ]	46	732
2	5	1	512	[H-2_VM-6, H-2_VM-5, H-2_VM-2, H-2_VM-1, H-2_VM-8, ]	40	552
3	5	1	470	[H-7_VM-3, H-7_VM-2, H-7_VM-8, H-7_VM-5, H-7_VM-4, ]	48	519
4	5	1	411	[H-8_VM-4, H-8_VM-3, H-8_VM-16, H-8_VM-11, H-8_VM-10, ]	59	470
5	5	1	389	[H-3_VM-5, H-3_VM-4, H-3_VM-7, H-3_VM-6, H-3_VM-1, ]	36	425
6	5	1	346	[H-9_VM-5, H-9_VM-4, H-9_VM-1, H-9_VM-7, H-9_VM-6, ]	34	380
7	5	1	377	[H-1_VM-5, H-1_VM-4, H-1_VM-7, H-1_VM-6, H-1_VM-1, ]	34	411
8	5	1	285	[H-4_VM-6, H-4_VM-5, H-4_VM-8, H-4_VM-2, H-4_VM-1, ]	32	317
9	5	1	303	[H-8_VM-9, H-8_VM-6, H-8_VM-5, H-8_VM-1, H-8_VM-13, ]	67	370
10	5	1	241	[H-6_VM-1, H-6_VM-4, H-6_VM-3, H-9_VM-2, H-9_VM-8, ]	71	312
11	5	1	215	[H-2_VM-7, H-2_VM-3, H-2_VM-4, H-5_VM-7, H-5_VM-6, ]	68	283
12	5	1	196	[H-4_VM-7, H-4_VM-4, H-4_VM-3, H-7_VM-1, H-7_VM-6, ]	71	267
13	5	1	179	[H-9_VM-3, H-3_VM-2, H-3_VM-3, H-3_VM-8, H-1_VM-3, ]	114	293
14	5	1	177	[H-8_VM-14, H-8_VM-12, H-8_VM-15, H-8_VM-8, H-8_VM-2, ]	62	239
15	5	1	132	[H-1_VM-2, H-1_VM-8, H-7_VM-7, H-8_VM-7, H-5_VM-1, ]	146	278
16	5	-2	159	[]	0	159
17	5	-2	75	[]	0	75
18	5	-2	77	[]	0	77
19	5	-2	74	[]	0	74
20	5	-2	71	[]	0	71
21	5	-2	70	[]	0	70
22	5	-2	72	[]	0	72
23	5	-2	77	[]	0	77
24	5	-2	66	[]	0	66
25	5	-2	67	[]	0	67
26	5	-2	75	[]	0	75
27	5	-2	66	[]	0	66
28	5	-2	74	[]	0	74
29	5	-2	71	[]	0	71
30	5	-2	80	[]	0	80
31	5	-2	74	[]	0	74
32	5	-2	64	[]	0	64
33	5	-2	70	[]	0	70
34	5	-2	74	[]	0	74
35	5	-2	66	[]	0	66
36	5	-2	69	[]	0	69
37	5	-2	68	[]	0	68
38	5	-2	73	[]	0	73
39	5	-2	64	[]	0	64
40	5	-2	73	[]	0	73
41	5	-2	63	[]	0	63
42	5	-2	66	[]	0	66
43	5	-2	75	[]	0	75
44	5	-2	66	[]	0	66
45	5	-2	88	[]	0	88
46	5	-2	74	[]	0	74
47	5	-2	70	[]	0	70
48	5	-2	81	[]	0	81
49	5	-2	67	[]	0	67
50	5	-2	76	[]	0	76
51	5	-2	70	[]	0	70
52	5	-2	65	[]	0	65
53	5	-2	73	[]	0	73
54	5	-2	74	[]	0	74
55	5	-2	66	[]	0	66
56	5	-2	65	[]	0	65
57	5	-2	73	[]	0	73
58	5	-2	67	[]	0	67
59	5	-2	79	[]	0	79
60	5	-2	80	[]	0	80
61	5	-2	67	[]	0	67
62	5	-2	74	[]	0	74
63	5	-2	68	[]	0	68
64	5	-2	84	[]	0	84
65	5	-2	72	[]	0	72
66	5	-2	64	[]	0	64
67	5	-2	71	[]	0	71
68	5	-2	78	[]	0	78
69	5	-2	63	[]	0	63
70	5	-2	75	[]	0	75
71	5	-2	73	[]	0	73
72	5	-2	69	[]	0	69
73	5	-2	76	[]	0	76
74	5	-2	69	[]	0	69
75	5	-2	65	[]	0	65
76	5	-2	67	[]	0	67
77	5	-2	65	[]	0	65
78	5	-2	66	[]	0	66
79	5	-2	67	[]	0	67
80	5	-2	64	[]	0	64
81	5	-2	66	[]	0	66
82	5	-2	67	[]	0	67
83	5	-2	64	[]	0	64
84	5	-2	63	[]	0	63
85	5	-2	69	[]	0	69
86	5	-2	65	[]	0	65
87	5	-2	71	[]	0	71
88	5	-2	81	[]	0	81
89	5	-2	63	[]	0	63
90	5	-2	67	[]	0	67
91	5	-2	69	[]	0	69
92	5	-2	65	[]	0	65
93	5	-2	68	[]	0	68
94	5	-2	73	[]	0	73
95	5	-2	68	[]	0	68
96	5	-2	75	[]	0	75
97	5	-2	76	[]	0	76
98	5	-2	67	[]	0	67
99	5	-2	73	[]	0	73
0	5	1	1459	[H-5_VM-8, H-5_VM-3, H-5_VM-2, H-5_VM-5, H-5_VM-4, ]	59	1518
1	5	1	788	[H-6_VM-6, H-6_VM-5, H-6_VM-8, H-6_VM-7, H-6_VM-2, ]	43	831
2	5	1	536	[H-2_VM-6, H-2_VM-5, H-2_VM-2, H-2_VM-1, H-2_VM-8, ]	40	576
3	5	1	521	[H-7_VM-3, H-7_VM-2, H-7_VM-8, H-7_VM-5, H-7_VM-4, ]	42	563
4	5	1	412	[H-8_VM-4, H-8_VM-3, H-8_VM-16, H-8_VM-11, H-8_VM-10, ]	57	469
5	5	1	388	[H-3_VM-5, H-3_VM-4, H-3_VM-7, H-3_VM-6, H-3_VM-1, ]	34	422
6	5	1	347	[H-9_VM-5, H-9_VM-4, H-9_VM-1, H-9_VM-7, H-9_VM-6, ]	35	382
7	5	1	376	[H-1_VM-5, H-1_VM-4, H-1_VM-7, H-1_VM-6, H-1_VM-1, ]	59	435
8	5	1	289	[H-4_VM-6, H-4_VM-5, H-4_VM-8, H-4_VM-2, H-4_VM-1, ]	34	323
9	5	1	272	[H-8_VM-9, H-8_VM-6, H-8_VM-5, H-8_VM-1, H-8_VM-13, ]	58	330
10	5	1	249	[H-6_VM-1, H-6_VM-4, H-6_VM-3, H-9_VM-2, H-9_VM-8, ]	69	318
11	5	1	211	[H-2_VM-7, H-2_VM-3, H-2_VM-4, H-5_VM-7, H-5_VM-6, ]	70	281
12	5	1	203	[H-4_VM-7, H-4_VM-4, H-4_VM-3, H-7_VM-1, H-7_VM-6, ]	71	274
13	5	1	175	[H-9_VM-3, H-3_VM-2, H-3_VM-3, H-3_VM-8, H-1_VM-3, ]	115	290
14	5	1	178	[H-8_VM-14, H-8_VM-12, H-8_VM-15, H-8_VM-8, H-8_VM-2, ]	65	243
15	5	1	127	[H-1_VM-2, H-1_VM-8, H-7_VM-7, H-8_VM-7, H-5_VM-1, ]	142	269
16	5	-2	181	[]	0	181
17	5	-2	69	[]	0	69
0	5	1	1451	[H-5_VM-8, H-5_VM-3, H-5_VM-2, H-5_VM-5, H-5_VM-4, ]	60	1511
1	5	1	709	[H-6_VM-6, H-6_VM-5, H-6_VM-8, H-6_VM-7, H-6_VM-2, ]	121	830
2	5	1	548	[H-2_VM-6, H-2_VM-5, H-2_VM-2, H-2_VM-1, H-2_VM-8, ]	45	593
3	5	1	497	[H-7_VM-3, H-7_VM-2, H-7_VM-8, H-7_VM-5, H-7_VM-4, ]	39	536
4	5	1	408	[H-8_VM-4, H-8_VM-3, H-8_VM-16, H-8_VM-11, H-8_VM-10, ]	57	465
5	5	1	382	[H-3_VM-5, H-3_VM-4, H-3_VM-7, H-3_VM-6, H-3_VM-1, ]	32	414
6	5	1	360	[H-9_VM-5, H-9_VM-4, H-9_VM-1, H-9_VM-7, H-9_VM-6, ]	37	397
7	5	1	351	[H-1_VM-5, H-1_VM-4, H-1_VM-7, H-1_VM-6, H-1_VM-1, ]	32	383
8	5	1	306	[H-4_VM-6, H-4_VM-5, H-4_VM-8, H-4_VM-2, H-4_VM-1, ]	31	337
9	5	1	293	[H-8_VM-9, H-8_VM-6, H-8_VM-5, H-8_VM-1, H-8_VM-13, ]	57	350
10	5	1	256	[H-6_VM-1, H-6_VM-4, H-6_VM-3, H-9_VM-2, H-9_VM-8, ]	65	321
11	5	1	213	[H-2_VM-7, H-2_VM-3, H-2_VM-4, H-5_VM-7, H-5_VM-6, ]	65	279
12	5	1	204	[H-4_VM-7, H-4_VM-4, H-4_VM-3, H-7_VM-1, H-7_VM-6, ]	66	270
13	5	1	183	[H-9_VM-3, H-3_VM-2, H-3_VM-3, H-3_VM-8, H-1_VM-3, ]	114	297
14	5	1	157	[H-8_VM-14, H-8_VM-12, H-8_VM-15, H-8_VM-8, H-8_VM-2, ]	65	222
15	5	1	133	[H-1_VM-2, H-1_VM-8, H-7_VM-7, H-8_VM-7, H-5_VM-1, ]	139	272
16	5	-2	160	[]	0	160
17	5	-2	64	[]	0	64
