net-update-time  	IT-update-time 	build-connect-time 	owl-update-time

1 hosts
954	11064	1	1411	
396	10917	2	1109	
445	10635	1	914	
315	10580	1	927	
311	10575	1	881	
319	10579	1	922	
330	10578	1	941	
313	10572	2	897	
334	10587	2	943	
317	10577	1	906	
314	10604	2	895	

2 hosts
345	21210	3	1159	
320	21032	4	956	
320	21012	2	941	
322	21029	3	1142	
311	21009	1	962	
327	21001	2	906	
303	21024	3	952	
317	21041	3	922	
308	21021	4	906	
315	21012	3	1177	
314	21053	4	909	
315	21023	3	927	
303	21017	3	914	
311	21027	3	959	

3 hosts
311	31630	3	994	
489	31527	2	983	
314	31458	1	952	
303	31461	2	1014	
300	31501	3	1008	
300	31454	3	1104	
316	31469	2	977	
299	31460	2	1013	
319	31469	3	997	
303	31451	2	1078	

4 hosts
301	41898	4	1119	
298	41812	2	993	
335	41834	4	986	
288	41835	4	1126	
274	41834	5	1236	
299	41854	4	990	
293	41833	2	1225	
302	41830	3	1102	
283	41824	3	1160	
294	41849	4	970	
300	41802	4	1012	
299	41840	2	1034	

5 hosts
292	52222	4	1034	
304	52174	4	1010	
290	52208	4	1004	
299	52274	4	1281	
342	52179	4	1027	
288	52194	3	1055	
492	52523	4	1017	
297	52199	4	1066	
297	52215	4	985	
284	52199	4	992	
295	52266	4	1065	
287	52223	2	985	

6 hosts
284	62712	3	1228	
288	62678	3	1017	
306	62682	3	1067	
288	62868	2	1094	
287	62699	2	1059	
295	62656	3	1066	
288	62684	4	1010	
288	62694	3	1267	
289	62674	3	1006	
295	62718	3	1057	
299	62687	3	1053	
317	62670	3	1073	

7 hosts
418	73854	23	1127	
313	73167	5	1186	
323	73274	4	1128	
350	73534	17	1487	
521	73574	4	1362	
315	73073	4	1370	
305	73181	3	1096	
307	73152	5	1086	
300	73261	4	1073	
455	73413	2	1132	
307	73090	4	1056	
294	73101	4	1117

8 hosts
356	83832	3	1154	
319	83522	3	1141	
306	83625	3	1101	
311	83495	3	1243	
304	83490	2	1094	
303	83466	2	1300	
297	83490	3	1358	
349	83502	3	1080	
302	83476	3	1350	
307	83532	4	1113	
328	83528	3	1110	
312	83515	4	1158	
306	83520	4	1091	
314	83505	3	1321	
324	83610	3	1184	

9 hosts	
311	134472	4	1393	
592	94024	2	1516	
380	94468	4	1130	
321	93994	2	1398	
587	96880	4	2016	
464	94394	5	1301	
305	93914	3	1122	
316	93989	3	1140	
362	93954	3	1156	
389	93967	2	1123	
314	94006	2	1128	
313	94007	4	1124	
324	94121	4	1333	
305	93931	3	1122	
709	94757	2	1806	
680	94402	2	1776	

Second Run with improved graph

0host
301	7	1	761	
55	0	0	126	
47	0	0	110	
44	0	0	93	
41	0	0	76	
44	0	0	75	
43	0	0	62	
38	0	0	69	
40	0	0	91	
40	0	0	57	

1 host
285	10679	1	1043	
55	10492	0	229	
50	10390	0	143	
51	10391	0	110	
51	10384	0	110	
52	10381	1	101	
49	10393	0	84	
43	10387	0	106	
46	10392	0	84	
54	10386	0	77	

2host
522	21388	2	870	
65	20807	1	204	
63	20818	1	201	
51	20838	0	133	
54	20813	1	124	
49	20837	0	113	
54	20821	0	109	
52	20824	1	97	
55	20823	0	102	
52	20832	0	81	

3host
279	31483	2	942	
69	31276	1	231	
